exam_year,exam_session,exam_course,question_number,content,answer,explanation,subject
2024,52,1교시,11,날문조임근에서 시작하고 뒤배벽에 고정되어 있으며 온쓸개관과 이자관이 합쳐져 유입되는 소화기관은? ① 빈창자 ② 샘창자 ③ 오름잘록창자 ④ 가로잘록창자 ⑤ 내림잘록창자,② 샘창자,소화기관 해부학 문제 온쓸개관(Common bile duct)과 이자관(Pancreatic duct)이 합쳐지는 곳은 샘창자(Duodenum) 특히 샘창자의 둘째 부분(내림 부분)으로 유입됨,해부생리학
2024,52,1교시,12,음파의 전달 순서로 옳은 것은? ① 고막 → 망치뼈 → 모루뼈 → 등자뼈 → 안뜰창 ② 고막 → 모루뼈 → 망치뼈 → 등자뼈 → 안뜰창 ③ 고막 → 망치뼈 → 모루뼈 → 등자뼈 → 달팽이창 ④ 고막 → 등자뼈 → 모루뼈 → 망치뼈 → 달팽이창 ⑤ 고막 → 망치뼈 → 등자뼈 → 모루뼈 → 달팽이창,① 고막 → 망치뼈 → 모루뼈 → 등자뼈 → 안뜰창,귀의 소리 전달 순서 문제 음파가 고막(Tympanic membrane)을 진동시킴 이 진동이 귓속뼈(이소골)를 차례로 통과 (망치뼈 → 모루뼈 → 등자뼈) 최종적으로 등자뼈가 안뜰창(Oval window)을 밀어 속귀로 전달,해부생리학
2024,52,1교시,13,"방사선 과다 노출, 항생제 남용 등으로 골수가 혈구를 생성하는 능력을 상실했을 때 나타나는 빈혈은? ① 용혈빈혈 ② 출혈빈혈 ③ 악성빈혈 ④ 철결핍빈혈 ⑤ 재생불량빈혈",⑤ 재생불량빈혈,빈혈의 원인과 종류 문제 핵심: 골수(Bone marrow)의 혈구 생성 능력 상실 이는 조혈모세포 기능부전으로 발생하는 재생불량빈혈(Aplastic anemia),생리학 (병태생리)
2024,52,1교시,14,들숨예비용적과 일회호흡용적의 합은? ① 폐활량 ② 들숨용량 ③ 잔기용적 ④ 총폐용량 ⑤ 기능잔기용량,② 들숨용량,"폐용적 및 용량 정의 문제
들숨용량 (Inspiratory Capacity, IC) = 일회호흡용적 (Tidal Volume, TV) + 들숨예비용적 (Inspiratory Reserve Volume, IRV)",생리학
2024,52,1교시,15,"콩팥에서 수분을 마지막으로 재흡수하며, 최종 소변의 삼투질농도를 결정하여 유두로 소변을 배출하는 곳은? ① 토리 ② 집합관 ③ 헨레고리 ④ 먼쪽곱슬세관 ⑤ 토리쪽곱슬세관",② 집합관,콩팥(신장) 기능 해부학 문제 항이뇨호르몬(ADH)의 작용을 받아 수분 재흡수를 마지막으로 조절 최종 소변의 농도를 결정 소변을 콩팥유두로 배출하는 통로 이는 집합관(Collecting duct),생리학
2024,52,1교시,16,뇌하수체 뒤엽에서 분비하는 호르몬은? ① 항이뇨호르몬 ② 성장호르몬 ③ 황체형성호르몬 ④ 갑상샘자극호르몬 ⑤ 부신겉질자극호르몬,① 항이뇨호르몬,"뇌하수체 호르몬 구분 문제
뒤엽 (Posterior pituitary): 옥시토신(Oxytocin), 항이뇨호르몬(ADH)
앞엽 (Anterior pituitary): 성장호르몬, 황체형성호르몬, 갑상샘자극호르몬, 부신겉질자극호르몬 등",생리학
2024,52,1교시,17,특수한 기계를 이용하여 가해지는 힘에 상관 없이 관절이 일정한 각속도로 움직이는 동적 수축은? ① 등장수축 ② 등척수축 ③ 등속수축 ④ 동심수축 ⑤ 편심수축,③ 등속수축,근수축 형태 문제 핵심: '일정한 각속도' (Constant angular velocity) 이는 등속성(Isokinetic) 운동의 정의 특수 기계 (예: Cybex)를 이용해야 함,운동생리학 / 운동치료학
2024,52,1교시,18,처음 자극보다 더 강한 자극을 가했을 때 새로운 활동전위가 발생하는 것은? ① 문턱값 ② 실무율 ③ 상대불응기 ④ 안정막전위 ⑤ 절대불응기,③ 상대불응기,"신경세포 활동전위 불응기 문제
절대불응기: 어떤 강한 자극에도 반응 X
상대불응기: 문턱값(Threshold)보다 '더 강한 자극'에 반응 O",생리학 (신경생리)
2024,52,1교시,19,대뇌겉질에서 띠이랑과 안쪽이마이랑 사이의 경계를 이루는 것은? ① 띠고랑 ② 중심고랑 ③ 가쪽고랑 ④ 위관자고랑 ⑤ 새발톱고랑,① 띠고랑,대뇌 안쪽면 해부학 문제 뇌들보(Corpus callosum) 위쪽 띠이랑(Cingulate gyrus)이 위치 띠이랑의 위쪽 경계가 띠고랑(Cingulate sulcus) 띠고랑 위쪽이 안쪽이마이랑(Medial frontal gyrus),해부학
2024,52,1교시,20,시상과 가쪽뇌실 주위에서 고리모양을 이루고 기억과 감정에 관여하는 것은? ① 소뇌 ② 뇌줄기 ③ 사이뇌 ④ 바닥핵 ⑤ 둘레계통,⑤ 둘레계통,"뇌 기능 해부학 문제 핵심: '기억' '감정' '고리모양' 이는 둘레계통(변연계, Limbic system)의 주요 기능과 구조적 특징",해부생리학
2024,52,1교시,21,척수에서 교차가 이루어지는 신경로는? ① 적색척수로 ② 뒤척수소뇌로 ③ 가쪽척수시상로 ④ 가쪽겉질척수로 ⑤ 뒤기둥-안쪽섬유띠로,③ 가쪽척수시상로,"신경로 교차(Decussation) 위치 문제
① 적색척수로: 뇌줄기(중간뇌) 교차
② 뒤척수소뇌로: 교차 안함 (동측)
③ 가쪽척수시상로: 척수(앞백색맞교차) 교차
④ 가쪽겉질척수로: 뇌줄기(숨뇌) 교차
⑤ 뒤기둥-안쪽섬유띠로: 뇌줄기(숨뇌) 교차",신경해부학
2024,52,1교시,22,뇌신경 중에서 벌집뼈의 체판을 통과하는 것은? ① 시신경 ② 삼차신경 ③ 속귀신경 ④ 후각신경 ⑤ 혀밑신경,④ 후각신경,"뇌신경과 통과 구멍 문제 벌집뼈 체판(Cribriform plate)은 후각신경(Olfactory nerve, CN I)이 통과
① 시신경: 시각신경관
③ 속귀신경: 속귀길",해부학
2024,52,1교시,23,"생리학적 가로단면적이 가장 크며 자뼈에 부착하고 아래팔의 엎침, 뒤침에 영향을 받지 않으며 팔꿉관절 굽힘에 작용하는 근육은? ① 위팔근 ② 위팔노근 ③ 원엎침근 ④ 팔꿈치근 ⑤ 위팔두갈래근",① 위팔근,"팔꿉관절 굽힘근 기능 해부학 문제
위팔두갈래근: 노뼈 부착 엎침/뒤침 영향 받음
위팔근: 자뼈(Ulna) 부착 아래팔 위치 영향 없이 순수 굽힘
위팔근이 굽힘근 중 생리학적 단면적(PCSA)이 가장 큼",기능해부학
2024,52,1교시,24,관절 돌림축에 작용하는 힘과 작용하는 힘 사이의 수직거리를 곱하여 구할 수 있는 것은? ① 속력 ② 토크 ③ 일률 ④ 짝힘 ⑤ 역학적 이득,② 토크,"생체역학 용어 정의 문제 토크(Torque) 또는 돌림힘의 정의 토크 = 힘(Force) × 모멘트팔(Moment arm, 수직거리)",생체역학 (Kinesiology)
2024,52,1교시,25,"엄지 손목손허리관절의 맞섬에 관한 설명으로 옳은 것은? ① 긴엄지폄근과 손가락폄근이 작용근이다 ② 벌림, 굽힘, 안쪽돌림의 결합운동으로 일어난다 ③ 안정성과 큰 힘이 요구되는 갈고리식 잡기에 필요하다 ④ 손허리뼈의 볼록한 관절면은 손바닥방향으로 구르면서 미끄러진다 ⑤ 손허리뼈의 오목한 관절면은 노쪽방향으로 구르면서 미끄러 진다","② 벌림, 굽힘, 안쪽돌림의 결합운동으로 일어난다",엄지 맞섬(Opposition) 운동학 문제 엄지 손목손허리관절(CMC)은 안장관절 맞섬(Opposition)은 단일 운동이 아닌 복합운동 맞섬 = 벌림(Abduction) + 굽힘(Flexion) + 안쪽돌림(Medial rotation),기능해부학 (Kinesiology)
2024,52,1교시,26,위등세모근과 앞톱니근의 상호작용으로 유발되는 어깨뼈 운동은? ① 올림 ② 내림 ③ 뒤당김 ④ 위쪽돌림 ⑤ 아래쪽돌림,④ 위쪽돌림,어깨뼈 위쪽돌림(Scapular upward rotation) 짝힘(Force couple) 문제 위등세모근(Upper trapezius)은 어깨뼈를 위안쪽으로 당김 앞톱니근(Serratus anterior)은 어깨뼈를 앞가쪽으로 당김 두 힘이 협력하여 어깨뼈의 위쪽돌림 축을 만듦 팔을 들 때 필수적인 협력작용,기능해부학 (Kinesiology)
2024,52,1교시,27,허리앞굽음 증가 척추사이구멍의 좁아짐 척추돌기사이관절에 압박을 일으키는 골반의 움직임에 작용하는 짝힘근육은? ① 배곧은근-큰볼기근 ② 배곧은근-넙다리뒤근 ③ 큰볼기근-척주세움근 ④ 엉덩허리근-척주세움근 ⑤ 엉덩허리근-넙다리빗근,④ 엉덩허리근-척주세움근,제시된 자세는 골반 앞기울임(Anterior pelvic tilt) 골반 앞기울임은 짝힘(Force couple)으로 발생 앞쪽: 엉덩허리근(Iliopsoas)이 골반을 아래로 당김 뒤쪽: 척주세움근(Erector spinae)이 골반을 위로 당김,생체역학 (Kinesiology)
2024,52,1교시,28,무릎관절을 완전히 펼 때 고정된 넙다리뼈에 대해 정강뼈의 가쪽돌림이 유발되어 관절일치성이 증가하는 기전에 관여하는 근육은? ① 오금근 ② 넙다리빗근 ③ 두덩정강근 ④ 넙다리뒤근 ⑤ 넙다리네갈래근,⑤ 넙다리네갈래근,무릎관절 나사집 기전(Screw-home mechanism) 문제 무릎 폄(Extension) 마지막 범위에서 정강뼈가 가쪽돌림(External rotation) 됨 이 움직임은 무릎 폄의 주동근인 넙다리네갈래근(Quadriceps)이 수축할 때 넙다리뼈 안쪽관절융기 모양 때문에 자연스럽게 발생 오금근(Popliteus)은 반대로 굽힘 시작 시 이 잠김을 푸는 역할,기능해부학 (Kinesiology)
2024,52,1교시,29,바로누운자세에서 한쪽 뻗은다리올림 운동을 할 때 무릎을 완전 폄하면 엉덩관절 굽힘 운동범위가 제한되는 이유는? ① 큰볼기근의 수동불충분 ② 큰볼기근의 능동불충분 ③ 넙다리뒤근의 수동불충분 ④ 넙다리뒤근의 능동불충분 ⑤ 넙다리곧은근의 수동불충분,③ 넙다리뒤근의 수동불충분,넙다리뒤근(Hamstrings)은 두관절근육 (엉덩관절 폄 + 무릎관절 굽힘) 뻗은다리올림(SLR) 자세 (무릎 폄 + 엉덩관절 굽힘) 두 관절에서 동시에 근육이 최대로 늘어남 근육이 더 이상 늘어날 수 없어 관절 가동범위가 제한되는 현상 이를 수동불충분(Passive insufficiency)이라 함,생체역학 (Kinesiology)
2024,52,1교시,30,몸통을 폄시키는 근육 중 가장 가쪽에 위치하여 한쪽 수축으로 가쪽굽힘을 할 때 효율적으로 작용하는 근육은? ① 가시근 ② 뭇갈래근 ③ 가장긴근 ④ 반가시근 ⑤ 엉덩갈비근,⑤ 엉덩갈비근,척주세움근(Erector spinae)의 구성 문제 척주세움근은 안쪽에서 가쪽으로 가시근(Spinalis) - 가장긴근(Longissimus) - 엉덩갈비근(Iliocostalis) 순서 가장 가쪽에 위치한 엉덩갈비근이 가쪽굽힘(Lateral flexion)에 가장 큰 모멘트팔을 가져 효율적,기능해부학
2024,52,1교시,31,턱관절의 입 열기 마지막 단계에서 관절원반의 이동과 동반되는 움직임은? ① 아래턱뼈의 올림 ② 아래턱뼈의 뒤당김 ③ 아래턱뼈의 가쪽이동 ④ 아래턱뼈 관절융기의 앞쪽 구르기 ⑤ 아래턱뼈 관절융기의 앞쪽 미끄러짐,⑤ 아래턱뼈 관절융기의 앞쪽 미끄러짐,턱관절(TMJ) 입 열기(Opening) 운동학 초기 단계: 관절융기(Condyle)의 회전(Rotation) 후기/마지막 단계: 관절원반(Disc)과 관절융기가 함께 앞쪽으로 미끄러짐(Anterior gliding/translation),기능해부학 (Kinesiology)
2024,52,1교시,32,"들숨 시 가로막의 수축으로 유발되는 가슴안 용적 변화에 관한 설명으로 옳은 것은? ① 복장뼈를 위쪽으로 올려 가슴안 용적을 증가시킨다 ② 위쪽갈비뼈를 위쪽으로 올려 가슴안 용적을 증가시킨다 ③ 갈비뼈와 복장뼈를 아래쪽으로 내려 가슴안 용적을 감소시킨다 ④ 가슴우리의 안-가쪽, 앞-뒤쪽 직경으로 가슴안 용적을 증가시킨다 ⑤ 갈비뼈를 아래쪽으로 내리고 안쪽으로 당겨 가슴안 용적을 감소시킨다","④ 가슴우리의 안-가쪽, 앞-뒤쪽 직경으로 가슴안 용적을 증가시킨다","가로막(Diaphragm)은 주된 들숨근(Inspiration muscle) 가로막 수축 시 돔(Dome) 모양이 아래로 편평해짐 (수직 직경 증가) 동시에 아래쪽 갈비뼈를 들어 올려 펌프손잡이(Pump-handle) 양동이손잡이(Bucket-handle) 운동 유발 결과적으로 가슴우리의 모든 직경 (안-가쪽, 앞-뒤쪽, 수직)이 증가하여 용적이 커짐",기능해부학 / 생리학
2024,52,1교시,33,"발끝으로 서 있는 동안 가로활과 안쪽세로활을 지지하는 근육으로, 첫째발목발허리관절에 안정성을 제공하고 중간디딤기와 후기디딤기에서 첫째발가락선이 지면에 견고히 고정되도록 작용하는 근육은? ① 앞정강근 ② 긴종아리근 ③ 장딴지빗근 ④ 긴엄지폄근 ⑤ 긴발가락굽힘근",② 긴종아리근,발의 활(Arch) 지지 근육 문제 긴종아리근(Peroneus longus)은 발바닥을 가로질러 첫째발허리뼈 바닥에 부착 가로활(Transverse arch)과 안쪽세로활(Medial longitudinal arch)을 지지 발목관절 발바닥굽힘(Plantarflexion)과 가쪽번짐(Eversion) 작용 보행 시 첫째발가락선을 지면에 견고하게 고정(안정화)시키는 역할,기능해부학 (Kinesiology)
2024,52,1교시,34,보행 동안 몸통과 엉덩관절이 과도하게 앞뒤로 흔들리며 중간디딤기에서 몸통이 뒤쪽으로 젖힘되는 보행은? ① 가위보행 ② 발처짐보행 ③ 큰볼기근약화 보행 ④ 중간볼기근약화 보행 ⑤ 넙다리네갈래근약화 보행,③ 큰볼기근약화 보행,병적 보행(Pathologic gait) 문제 큰볼기근(Gluteus maximus)은 엉덩관절 폄(Hip extension) 주동근 이 근육 약화 시 디딤기(Stance phase)에서 엉덩관절이 굽혀지는 것을 방지하기 위해 몸통을 뒤쪽으로 젖힘(Trunk backward lurching) 이를 큰볼기근약화 보행이라 함,보행분석 (Kinesiology)
2024,52,1교시,35,연속직류의 효과는? ① 압전 효과 ② 광전 효과 ③ 광열 효과 ④ 화학적 효과 ⑤ 유도방출 효과,④ 화학적 효과,전기치료 기본 원리 문제 연속직류(Continuous direct current)는 극성(Polarity)이 변하지 않음 일정한 방향으로 전류가 흘러 이온(Ion) 이동 발생 이로 인해 양극(+)에서는 산성(Acidic) 반응 음극(-)에서는 염기성(Alkaline) 반응이 나타남 이를 화학적 효과라 하며 이온도입치료(Iontophoresis)의 기본 원리,물리적 인자치료 (Electrotherapy)
2024,52,1교시,36,저주파 전류자극 시 피부저항을 줄이는 방법은? ① 작은 전극을 사용한다 ② 치료 부위를 차갑게 한다 ③ 절연성 유분 물질을 바른다 ④ 전극 간의 거리를 좁게 한다 ⑤ 전극과 피부의 물기를 제거한다,④ 전극 간의 거리를 좁게 한다,"피부저항(Skin resistance) 감소 방법
전극 간 거리가 가까워지면 저항 감소
전극 크기가 커지면 저항 감소 (① 반대)
피부 온도를 높이면(따뜻하게) 저항 감소 (② 반대)
유분 물질(오일 로션)은 절연체로 저항 증가 (③ 반대)
물기(수분)는 전도성을 높여 저항 감소 (⑤ 반대, 단 전극 스펀지는 적셔야 함)
(※ 편집자 주: ④번 보기는 논란의 소지가 있을 수 있으나 다른 보기가 명백히 틀림. 일반적으로 저항은 거리에 비례하지만 총 임피던스 관점에서는 다를 수 있음. 하지만 문제의 의도는 전극 간 거리가 가까울 때 전류 경로가 짧아져 저항이 줄어드는 것을 묻는 것으로 보임. 가장 확실한 저항 감소법은 스펀지에 물을 적시거나 전극 크기를 키우는 것임)
(※ 최종답안 4번 근거 재확인: 저주파에서 조직 저항은 R = ρ(L/A) 공식을 따름. L(거리)이 줄면 R(저항)이 줄어듦. 따라서 ④가 정답)",물리적 인자치료 (Electrotherapy)
2024,52,1교시,37,전기 변성반응검사에서 감응전류로 근육을 자극할 때 완전변성 결과로 나타나는 반응은? ① 연축 ② 강축 ③ 반응 없음 ④ 느리고 완만한 수축 ⑤ 연축과 강축의 교대수축,③ 반응 없음,"전기진단(E-diag) 변성반응(RD) 문제
감응전류 (Faradic current): 짧은 맥동 (1ms) 교류. 정상 신경근육 자극 가능
직류전류 (Galvanic current): 긴 맥동 (100ms 이상) 직류. 탈신경근육 자극 가능
완전변성 (Full RD): 신경 손상으로 근육이 탈신경 상태.
완전변성 시 감응전류(짧은 자극)에는 반응 없음
직류전류(긴 자극)에만 '느리고 완만한 수축'을 보임",물리적 인자치료 / 진단평가
2024,52,1교시,38,양극 활성전극을 이용한 리도카인 약물의 이온도입치료 효과는? ① 항진균 ② 통증완화 ③ 부종완화 ④ 창상치유 ⑤ 칼슘용해,② 통증완화,"이온도입치료(Iontophoresis) 약물 극성 문제
리도카인 (Lidocaine): 국소마취제(통증완화), 양극(+) 약물
이온도입 원리: 같은 극끼리 밀어냄
약물이 양극(+)이므로 활성전극(Active electrode)도 **양극(+)**을 사용해야 함
효과: 국소 마취를 통한 통증완화
⑤ 칼슘용해: 아세트산(Acetic acid, 음극)
③ 부종완화: 덱사메타손(Dexamethasone, 음극)",물리적 인자치료 (Electrotherapy)
2024,52,1교시,39,고빈도-저강도 경피신경전기자극의 특징은? ① 근력강화에 이용한다 ② 맥동주파수는 1~4 pps이다 ③ Aβ 감각신경을 활성화한다 ④ 통증조절원리는 엔돌핀이론에 따른다 ⑤ 100 µA 미만의 전류를 사용한다,③ Aβ 감각신경을 활성화한다,"경피신경전기자극(TENS) 유형 문제 고빈도-저강도 TENS = 통상적(Conventional) TENS
원리: 관문조절설(Gate control theory)
자극신경: 굵은 감각신경인 Aβ (A-beta) 섬유 활성화
주파수: 고빈도 (80~150 pps) (② 아님)
강도: 저강도 (따끔하지만 근수축 없음)
통증조절: 엔돌핀 이론은 저빈도-고강도(침술유사) TENS (④ 아님)
⑤ 100 µA 미만은 미세전류(METS)",물리적 인자치료 (Electrotherapy)
2024,52,1교시,40,웨덴스키 억제와 운동종말판 피로를 줄이기 위해 주기적으로 단속하여 사용하는 물리적 인자치료는? ① 간섭전류자극 ② 신경근전기자극 ③ 기능적전기자극 ④ 경피신경전기자극 ⑤ 고전압맥동직류자극,① 간섭전류자극,"간섭전류치료(ICT) 특징 문제 두 개의 다른 중주파 전류를 교차시켜(간섭) 맥놀이주파수(저주파) 생성
웨덴스키 억제 (Wedensky inhibition): 지속적 고빈도 자극으로 인한 신경 차단
운동종말판 피로 (Motor endplate fatigue): 지속적 자극으로 인한 신경근접합부 피로
ICT는 중주파(수천 Hz)를 사용하여 피부저항 낮춤
전류를 주기적으로 단속(변조)하여 감각 순응 및 피로 현상을 줄임",물리적 인자치료 (Electrotherapy)
2024,52,1교시,41,초음파 치료 시 흡수계수가 가장 높은 조직은? ① 뼈 ② 근육 ③ 신경 ④ 지방 ⑤ 피부,① 뼈,"초음파(Ultrasound) 조직 흡수율 문제 초음파 에너지는 조직의 단백질 함량에 비례하여 흡수됨
흡수율 순서 (높음 → 낮음):
뼈 > 연골 > 힘줄/인대 > 근육 > 신경 > 피부 > 지방
뼈(Bone)가 반사 및 흡수율이 가장 높음 (과열 주의)
지방(Fat)은 흡수율이 매우 낮음",물리적 인자치료 (Thermotherapy)
2024,52,1교시,42,"빛이 임계각보다 큰 각으로 입사될 때, 경계면에서 반사되는 광선의 양은? ① 10% ② 25% ③ 50% ④ 75% ⑤ 100%",⑤ 100%,"광선(빛) 물리 법칙 문제 빛이 밀한 매질에서 소한 매질로 진행할 때 입사각이 특정 각도(임계각, Critical angle)보다 커지면 빛이 굴절하지 못하고 경계면에서 모두 반사됨 이를 **전반사(Total internal reflection)**라 함 이때 반사되는 양은 100%",물리적 인자치료 (Phototherapy)
2024,52,1교시,43,다음에서 설명하는 광선은? • 말초혈관확장에 의해 홍반이 발생 • 피부 신경말단에 흡수되며 온감을 느낌 • 치료기 사용 시 예열이 필요함 ① 감마선 ② 가시광선 ③ 단파 자외선 ④ 장파 자외선 ⑤ 장파 적외선,⑤ 장파 적외선,"광선치료 종류별 특징
홍반: 적외선(열) 또는 자외선(화학) 둘 다 가능
온감 (Warmth): 적외선(Infrared)의 주요 특징 (열치료)
예열 필요: 적외선 치료기(특히 비발광형) 특징
장파 적외선 (Far infrared): 피부 표면(신경말단)에 얕게 흡수되어 온감 유발
단파 적외선 (Near infrared)은 더 깊이 침투
자외선(UV)은 온감이 거의 없음",물리적 인자치료 (Phototherapy)
2024,52,1교시,44,"자외선 치료 시 최소홍반용량이 20초일 때, 4도홍반용량은? ① 100초 ② 150초 ③ 200초 ④ 250초 ⑤ 300초",③ 200초,"자외선(UV) 치료 용량 계산 문제
최소홍반용량 (MED): 1도 홍반 기준 (20초)
2도 홍반: 1도(MED) × 2.5배 (20 × 2.5 = 50초)
3도 홍반: 1도(MED) × 5배 (20 × 5 = 100초)
4도 홍반: 1도(MED) × 10배 (20 × 10 = 200초)",물리적 인자치료 (Phototherapy)
2024,52,1교시,45,"다음 설명에 해당하는 물리적 인자치료는? • 전도열 방식으로, 국소 충혈효과와 혈액순환이 증진됨 • 온도는 52~54℃로 높지만 물보다 비열과 열전도가 낮아 화상위험이 적음 • 손, 발 등의 국소부위에 간헐법, 지속법, 도포법, 붓는 방법을 적용할 수 있음 ① 밀기울욕 ② 유속치료 ③ 고온습포 ④ 파라핀욕 ⑤ 핀란드욕",④ 파라핀욕,"파라핀욕(Paraffin bath) 특징 문제
전도열(Conduction) 방식
온도 52~54℃: 물(40~43℃)보다 높음
낮은 비열/열전도: 높은 온도에도 화상 위험 적음 (물보다)
적용 부위: 손, 발 등 불규칙한 국소부위
적용 방법: 간헐법(Dip & Wrap), 지속법(Dip & Immersion) 등",물리적 인자치료 (Thermotherapy)
